LABORATÓRIO,ENDEREÇO
"Museu de Minerais e Rochas ""Prof. Dr. Heinz ebert""",C:\Users\Unesp\Desktop\Mapeamento Unesp Rio Claro\IMAGENS\Geologia\MUSEUHE.jpg
Museu de Paleontologia e Estratigrafia “Paulo Milton Barbosa Landim”,C:\Users\Unesp\Desktop\Mapeamento Unesp Rio Claro\IMAGENS\Geologia\MUSEUPALEONTO.jpg
